Date,Value,tre200b0,ure200b0,rre150b0,sre000b0,fu3010b0,prestab0,tre200b0_mean,ure200b0_mean,rre150b0_sum,sre000b0_sum,fu3010b0_mean,prestab0_mean
2016-08-04,383.0,5.3,89.7,0.1,0.0,7.9,953.1,7.7166666666666535,77.21250000000013,0.2000000000000747,0.0,7.116666666666645,956.1916666666663
2016-08-05,2.062,19.2,28.4,0.0,20.0,18.0,952.9,16.062499999999982,42.30833333333343,8.607003998406526e-14,753.0,4.658333333333326,954.4249999999997
2016-08-07,762.549,25.2,51.0,0.0,8.0,7.9,962.7,20.174999999999937,59.80000000000018,8.987255384340642e-14,844.0,5.408333333333311,963.6333333333333
2016-08-08,340.955,23.6,58.3,0.0,10.0,10.1,963.9,19.074999999999957,68.01666666666672,6.84452494681409e-14,830.0,5.933333333333306,970.2458333333334
2016-08-09,109.288,21.3,63.8,0.0,0.0,10.4,959.1,17.09999999999994,72.07916666666665,6.006306563222097e-14,739.0,5.429166666666641,961.9166666666669
2016-08-11,413.406,2.3,86.4,0.0,0.0,8.3,955.3,2.287499999999962,83.57500000000014,0.3000000000000498,87.0,4.708333333333305,951.4083333333334
2016-08-13,323.568,21.8,65.2,0.0,11.0,4.3,966.5,16.058333333333294,73.80000000000008,0.1000000000000705,338.0,8.054166666666633,970.0749999999997
2016-08-14,325.665,23.7,63.1,0.0,16.0,4.3,964.2,18.999999999999968,71.90416666666677,7.049916206369744e-14,815.0,3.995833333333304,967.8499999999998
2016-08-15,574.184,23.2,68.9,0.0,0.0,1.4,961.7,21.483333333333306,69.09166666666674,7.049916206369744e-14,792.0,4.179166666666637,965.5791666666665
2016-08-16,619.538,23.3,60.4,0.0,0.0,15.8,957.4,21.84166666666664,73.15833333333343,7.049916206369744e-14,675.0,3.6458333333333033,963.1666666666669
2016-08-17,449.31199999999995,21.2,67.3,0.0,0.0,4.7,954.8,21.799999999999965,69.09583333333343,1.5000000000000706,711.0,5.595833333333303,959.4625000000001
2016-08-18,3.443,17.2,92.6,0.1,0.0,4.7,956.1,19.562499999999954,75.43333333333342,5.600000000000071,316.0,7.041666666666635,956.5875
2016-08-20,472.869,16.4,86.2,0.0,0.0,14.0,961.5,19.67916666666662,77.92083333333342,7.122080702970379e-14,345.0,3.5374999999999726,956.6333333333333
2016-08-22,503.457,17.9,60.0,0.0,0.0,7.2,971.5,15.84999999999995,74.22500000000002,0.600000000000071,201.0,7.320833333333308,966.3916666666664
2016-08-23,397.635,21.4,64.6,0.0,0.0,2.9,967.9,16.641666666666612,62.295833333333356,7.102651800039439e-14,778.0,5.733333333333302,971.3666666666664
2016-08-25,572.7090000000001,24.9,69.9,0.0,0.0,6.8,960.8,21.11666666666662,75.05000000000001,7.102651800039439e-14,781.0,4.516666666666636,965.3541666666666
2016-08-26,345.285,24.7,57.2,0.0,0.0,6.1,961.8,22.595833333333275,74.47916666666667,7.102651800039439e-14,773.0,4.024999999999968,962.2208333333334
2016-08-27,649.69,24.9,58.6,0.0,0.0,11.5,961.2,23.94583333333328,68.84583333333335,7.102651800039439e-14,772.0,3.7708333333333024,962.3916666666669
2016-08-28,925.1260000000001,25.7,49.0,0.0,0.0,14.0,961.4,23.766666666666598,63.64583333333335,0.600000000000071,723.0,4.81249999999997,962.3333333333331
2016-08-31,587.0579999999999,22.5,69.4,0.0,0.0,10.8,963.7,19.82499999999994,75.66666666666667,7.105427357601002e-14,399.0,5.745833333333304,964.5416666666666
2016-09-01,651.4499999999999,5.3,94.0,0.0,0.0,2.2,946.8,4.787499999999995,87.98333333333363,14.100000000000064,0.0,3.649999999999992,949.4249999999998
2016-09-02,312.58,7.1,71.5,2.8,0.0,31.0,938.8,6.516666666666648,74.38333333333354,0.20000000000006854,160.0,11.199999999999962,952.7750000000001
2016-09-04,553.7009999999998,7.4,79.6,0.0,0.0,2.5,952.4,5.708333333333319,85.7166666666668,4.600000000000076,0.0,5.887499999999979,953.8541666666664
2016-09-06,217.56799999999998,16.1,77.1,0.0,20.0,4.3,959.6,15.524999999999977,91.6333333333334,38.40000000000009,0.0,5.479166666666637,962.9083333333338
2016-09-07,212.80900000000003,25.6,46.5,0.0,60.0,7.9,962.9,22.266666666666598,60.01250000000014,8.987255384340642e-14,433.0,7.97083333333331,962.683333333333
2016-09-08,352.227,13.2,87.6,0.3,0.0,10.4,964.6,21.149999999999963,66.91250000000007,6.84452494681409e-14,795.0,5.858333333333302,965.4999999999997
2016-09-09,596.706,20.7,68.3,0.0,0.0,6.1,960.0,19.83749999999994,70.19583333333331,6.006306563222097e-14,726.0,4.974999999999976,959.6958333333336
2016-09-11,545.011,3.7,88.2,0.0,0.0,10.4,950.0,1.4791666666666279,83.59583333333349,0.3000000000000498,150.0,5.566666666666641,953.6583333333333
2016-09-13,357.102,21.5,75.8,0.0,0.0,5.0,956.5,21.024999999999945,71.75833333333331,6.006306563222097e-14,697.0,4.024999999999973,961.6041666666666
2016-09-14,312.029,21.7,75.9,0.0,0.0,5.0,955.0,20.85833333333328,71.66666666666664,6.006306563222097e-14,700.0,3.862499999999976,958.8666666666667
2016-09-16,117.476,14.6,80.8,0.0,0.0,6.5,958.7,17.945833333333297,75.04999999999998,6.006306563222097e-14,45.0,7.462499999999975,956.2000000000002
2016-09-17,285.36,13.6,83.5,0.0,0.0,14.4,959.5,15.666666666666634,79.5458333333333,0.20000000000006007,25.0,8.662499999999975,959.2041666666665
2016-09-18,80.303,13.7,92.4,0.9,0.0,4.3,957.5,14.324999999999966,80.99999999999999,1.40000000000006,83.0,8.779166666666638,959.1375000000003
2016-09-22,33.003,14.1,82.2,0.0,0.0,14.0,965.0,12.520833333333295,81.88750000000005,5.911937606128959e-14,48.0,4.54166666666664,961.0374999999998
2016-09-26,543.0740000000001,17.5,73.6,0.0,0.0,11.9,964.4,15.795833333333292,76.02500000000002,5.911937606128959e-14,631.0,4.991666666666639,964.3916666666668
2016-09-27,722.816,14.5,82.9,0.0,0.0,4.3,970.5,16.141666666666634,79.41250000000001,5.911937606128959e-14,466.0,5.124999999999973,964.5750000000002
2016-09-28,164.46900000000002,16.0,78.5,0.0,0.0,7.6,972.3,15.59999999999996,81.08750000000002,5.911937606128959e-14,340.0,4.341666666666639,968.7541666666663
2016-10-01,709.539,6.0,89.5,0.3,0.0,4.3,942.5,5.670833333333326,94.91250000000025,13.500000000000055,0.0,3.3041666666666587,947.2208333333334
